Week,Actual 2024 Cases
1/1/2024,166
1/7/2024,110
1/14/2024,99
1/21/2024,95
1/28/2024,90
2/4/2024,91
2/11/2024,85
2/18/2024,74
2/25/2024,75
3/3/2024,72
3/10/2024,67
3/17/2024,61
3/24/2024,44
3/31/2024,42
4/7/2024,46
4/14/2024,47
4/21/2024,42
4/28/2024,39
5/5/2024,28
5/12/2024,26
5/19/2024,34
5/26/2024,52
6/2/2024,43
6/9/2024,48
6/16/2024,73
6/23/2024,81
6/30/2024,105
7/7/2024,125
7/14/2024,165
7/21/2024,159
7/28/2024,210
8/4/2024,251
8/11/2024,250
8/18/2024,253
8/25/2024,230
9/1/2024,233
9/8/2024,308
9/15/2024,357
9/22/2024,295
9/29/2024,345
10/6/2024,330
10/13/2024,353
10/20/2024,283
10/27/2024,381
11/3/2024,423
11/10/2024,455
11/17/2024,489
11/24/2024,473
12/1/2024,386
12/8/2024,318
12/15/2024,224
12/22/2024,306
,
